Country,ID,Pop,StayHomeOrderDay,,
United States of America,US,331002651,2020-03-22,Related to New York,
Italy,IT,60461826,2020-03-10,,
France,FR,65273511,2020-03-16,,
Spain,SP,46754778,2020-03-16,Marzia Lazzerini,
The United Kingdom,UK,67886011,2020-03-23,Giovanni Putoto,
Greece,GR,10423054,2020-03-23,,
Sweden,SW,10099265,2020-03-11,,
Netherlands,NT,17134872,2020-03-16,,
Belgium,BE,11589623,2020-03-17,,
Mexico,MX,128932753,2020-03-23,Phase 3,21/apriil 
Chile,CHL,19116201,2020-03-24,,
Peru,PR,32971854,2020-03-16,StayHome Order,
Brazil,BZ,212559417,2020-03-24,,
Ecuador,EC,17643054,2020-03-26,,
Argentina,AR,45195774,2020-03-19,,
Paraguay,PR,7132538,2020-03-20,,
Colombia,CL,50882891,2020-03-25,,
Canada,,37742154,2020-03-24,,
Panama,,4314767,2020-03-24,,
Bolivia,BL,11673021,2020-03-22,,
India,,1380004385,2020-03-25,,
Russian Federation,,145934462,2020-03-28,,
China,CHI,1471286879,,,PoP_2020 was obtaines from https://worldhealthorg.shinyapps.io/covid/